ClinicalSignificance_T0,VariationID,ClinicalSignificance_T1
Pathogenic,193,Pathogenic/Likely pathogenic
Pathogenic,193,Pathogenic/Likely pathogenic
Pathogenic,193,Pathogenic/Likely pathogenic
Pathogenic,193,Pathogenic/Likely pathogenic
Pathogenic,933,Pathogenic/Likely pathogenic
Pathogenic,933,Pathogenic/Likely pathogenic
Pathogenic,933,Pathogenic/Likely pathogenic
Pathogenic,933,Pathogenic/Likely pathogenic
Pathogenic,1055,Likely pathogenic
Pathogenic,1055,Likely pathogenic
Pathogenic,1055,Likely pathogenic
Pathogenic,1055,Likely pathogenic
Pathogenic,1082,Pathogenic/Likely pathogenic
Pathogenic,1082,Pathogenic/Likely pathogenic
Pathogenic,1082,Pathogenic/Likely pathogenic
Pathogenic,1082,Pathogenic/Likely pathogenic
Pathogenic,1519,Likely pathogenic
Pathogenic,1519,Likely pathogenic
Pathogenic,1519,Likely pathogenic
Pathogenic,1519,Likely pathogenic
Pathogenic,1551,Likely pathogenic
Pathogenic,1551,Likely pathogenic
Pathogenic,1551,Likely pathogenic
Pathogenic,1551,Likely pathogenic
Pathogenic,2430,Likely pathogenic
Pathogenic,2430,Likely pathogenic
Pathogenic,2430,Likely pathogenic
Pathogenic,2430,Likely pathogenic
Pathogenic,3230,Uncertain significance
Pathogenic,3230,Uncertain significance
Pathogenic,3230,Uncertain significance
Pathogenic,3230,Uncertain significance
Conflicting classifications of pathogenicity,3246,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,3246,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,3246,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,3246,Pathogenic/Likely pathogenic
Pathogenic/Likely pathogenic,3777,Conflicting classifications of pathogenicity
Pathogenic/Likely pathogenic,3777,Conflicting classifications of pathogenicity
Pathogenic/Likely pathogenic,3777,Conflicting classifications of pathogenicity
Pathogenic/Likely pathogenic,3777,Conflicting classifications of pathogenicity
Pathogenic,3801,Pathogenic/Likely pathogenic
Pathogenic,3801,Pathogenic/Likely pathogenic
Pathogenic,3801,Pathogenic/Likely pathogenic
Pathogenic,3801,Pathogenic/Likely pathogenic
Pathogenic,3919,Affects
Pathogenic,3919,Affects
Pathogenic,3919,Affects
Pathogenic,3919,Affects
Pathogenic,3929,Affects
Pathogenic,3929,Affects
Pathogenic,3929,Affects
Pathogenic,3929,Affects
Pathogenic,3935,Affects
Pathogenic,3935,Affects
Pathogenic,3935,Affects
Pathogenic,3935,Affects
Conflicting classifications of pathogenicity,3942,Uncertain significance; Affects
Conflicting classifications of pathogenicity,3942,Uncertain significance; Affects
Conflicting classifications of pathogenicity,3942,Uncertain significance; Affects
Conflicting classifications of pathogenicity,3942,Uncertain significance; Affects
Pathogenic,3968,Likely pathogenic
Pathogenic,3968,Likely pathogenic
Pathogenic,3968,Likely pathogenic
Pathogenic,3968,Likely pathogenic
Pathogenic,4096,Likely pathogenic
Pathogenic,4096,Likely pathogenic
Pathogenic,4096,Likely pathogenic
Pathogenic,4096,Likely pathogenic
Benign; risk factor,4152,Benign
Benign; risk factor,4152,Benign
Benign; risk factor,4152,Benign
Benign; risk factor,4152,Benign
Pathogenic,4678,Uncertain significance
Pathogenic,4678,Uncertain significance
Pathogenic,4678,Uncertain significance
Pathogenic,4678,Uncertain significance
Pathogenic,5079,Uncertain significance
Pathogenic,5079,Uncertain significance
Pathogenic,5079,Uncertain significance
Pathogenic,5079,Uncertain significance
Pathogenic,5192,Likely pathogenic
Pathogenic,5192,Likely pathogenic
Pathogenic,5192,Likely pathogenic
Pathogenic,5192,Likely pathogenic
Pathogenic,5259,Pathogenic/Likely pathogenic
Pathogenic,5259,Pathogenic/Likely pathogenic
Pathogenic,5259,Pathogenic/Likely pathogenic
Pathogenic,5259,Pathogenic/Likely pathogenic
Pathogenic,5611,Likely pathogenic
Pathogenic,5611,Likely pathogenic
Pathogenic,5611,Likely pathogenic
Pathogenic,5611,Likely pathogenic
Pathogenic/Likely pathogenic,6280,Pathogenic
Pathogenic/Likely pathogenic,6280,Pathogenic
Pathogenic/Likely pathogenic,6280,Pathogenic
Pathogenic/Likely pathogenic,6280,Pathogenic
Pathogenic,6341,Conflicting classifications of pathogenicity
Pathogenic,6341,Conflicting classifications of pathogenicity
Pathogenic,6341,Conflicting classifications of pathogenicity
Pathogenic,6341,Conflicting classifications of pathogenicity
Likely pathogenic,6444,Pathogenic/Likely pathogenic
Likely pathogenic,6444,Pathogenic/Likely pathogenic
Likely pathogenic,6444,Pathogenic/Likely pathogenic
Likely pathogenic,6444,Pathogenic/Likely pathogenic
Uncertain significance,6609,Conflicting classifications of pathogenicity
Uncertain significance,6609,Conflicting classifications of pathogenicity
Uncertain significance,6609,Conflicting classifications of pathogenicity
Uncertain significance,6609,Conflicting classifications of pathogenicity
Conflicting classifications of pathogenicity,6780,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,6780,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,6780,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,6780,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,7879,Pathogenic
Conflicting classifications of pathogenicity,7879,Pathogenic
Conflicting classifications of pathogenicity,7879,Pathogenic
Conflicting classifications of pathogenicity,7879,Pathogenic
Conflicting classifications of pathogenicity,7884,Likely benign
Conflicting classifications of pathogenicity,7884,Likely benign
Conflicting classifications of pathogenicity,7884,Likely benign
Conflicting classifications of pathogenicity,7884,Likely benign
Conflicting classifications of pathogenicity,7888,Pathogenic
Conflicting classifications of pathogenicity,7888,Pathogenic
Conflicting classifications of pathogenicity,7888,Pathogenic
Conflicting classifications of pathogenicity,7888,Pathogenic
Pathogenic/Likely pathogenic,7898,Pathogenic
Pathogenic/Likely pathogenic,7898,Pathogenic
Pathogenic/Likely pathogenic,7898,Pathogenic
Pathogenic/Likely pathogenic,7898,Pathogenic
Conflicting classifications of pathogenicity,7900,Pathogenic
Conflicting classifications of pathogenicity,7900,Pathogenic
Conflicting classifications of pathogenicity,7900,Pathogenic
Conflicting classifications of pathogenicity,7900,Pathogenic
Pathogenic/Likely pathogenic,7904,Pathogenic
Pathogenic/Likely pathogenic,7904,Pathogenic
Pathogenic/Likely pathogenic,7904,Pathogenic
Pathogenic/Likely pathogenic,7904,Pathogenic
Likely pathogenic,7960,Pathogenic
Likely pathogenic,7960,Pathogenic
Likely pathogenic,7960,Pathogenic
Likely pathogenic,7960,Pathogenic
Benign,8223,Benign/Likely benign
Benign,8223,Benign/Likely benign
Benign,8223,Benign/Likely benign
Benign,8223,Benign/Likely benign
Benign; drug response,9634,Uncertain significance; drug response
Benign; drug response,9634,Uncertain significance; drug response
Benign; drug response,9634,Uncertain significance; drug response
Benign; drug response,9634,Uncertain significance; drug response
Conflicting classifications of pathogenicity,10156,Likely benign
Conflicting classifications of pathogenicity,10156,Likely benign
Conflicting classifications of pathogenicity,10156,Likely benign
Conflicting classifications of pathogenicity,10156,Likely benign
Conflicting classifications of pathogenicity,10167,Likely pathogenic
Conflicting classifications of pathogenicity,10167,Likely pathogenic
Conflicting classifications of pathogenicity,10167,Likely pathogenic
Conflicting classifications of pathogenicity,10167,Likely pathogenic
Pathogenic,10516,Likely pathogenic
Pathogenic,10516,Likely pathogenic
Pathogenic,10516,Likely pathogenic
Pathogenic,10516,Likely pathogenic
Pathogenic,10865,Likely pathogenic
Pathogenic,10865,Likely pathogenic
Pathogenic,10865,Likely pathogenic
Pathogenic,10865,Likely pathogenic
Pathogenic,10877,Pathogenic/Likely pathogenic
Pathogenic,10877,Pathogenic/Likely pathogenic
Pathogenic,10877,Pathogenic/Likely pathogenic
Pathogenic,10877,Pathogenic/Likely pathogenic
Pathogenic,10887,Pathogenic/Likely pathogenic
Pathogenic,10887,Pathogenic/Likely pathogenic
Pathogenic,10887,Pathogenic/Likely pathogenic
Pathogenic,10887,Pathogenic/Likely pathogenic
Pathogenic,10893,Pathogenic/Likely pathogenic
Pathogenic,10893,Pathogenic/Likely pathogenic
Pathogenic,10893,Pathogenic/Likely pathogenic
Pathogenic,10893,Pathogenic/Likely pathogenic
Likely pathogenic,11022,Pathogenic/Likely pathogenic
Likely pathogenic,11022,Pathogenic/Likely pathogenic
Likely pathogenic,11022,Pathogenic/Likely pathogenic
Likely pathogenic,11022,Pathogenic/Likely pathogenic
Pathogenic,12187,Pathogenic/Likely pathogenic
Pathogenic,12187,Pathogenic/Likely pathogenic
Pathogenic,12187,Pathogenic/Likely pathogenic
Pathogenic,12187,Pathogenic/Likely pathogenic
Likely pathogenic,12568,Pathogenic/Likely pathogenic
Likely pathogenic,12568,Pathogenic/Likely pathogenic
Likely pathogenic,12568,Pathogenic/Likely pathogenic
Likely pathogenic,12568,Pathogenic/Likely pathogenic
Pathogenic/Likely pathogenic,12847,Conflicting classifications of pathogenicity
Pathogenic/Likely pathogenic,12847,Conflicting classifications of pathogenicity
Pathogenic/Likely pathogenic,12847,Conflicting classifications of pathogenicity
Pathogenic/Likely pathogenic,12847,Conflicting classifications of pathogenicity
Pathogenic,13532,Likely pathogenic
Pathogenic,13532,Likely pathogenic
Pathogenic,13532,Likely pathogenic
Pathogenic,13532,Likely pathogenic
Uncertain significance,13534,Likely pathogenic
Uncertain significance,13534,Likely pathogenic
Uncertain significance,13534,Likely pathogenic
Uncertain significance,13534,Likely pathogenic
Likely pathogenic,13668,Conflicting classifications of pathogenicity
Likely pathogenic,13668,Conflicting classifications of pathogenicity
Likely pathogenic,13668,Conflicting classifications of pathogenicity
Likely pathogenic,13668,Conflicting classifications of pathogenicity
Pathogenic,13888,Uncertain significance
Pathogenic,13888,Uncertain significance
Pathogenic,13888,Uncertain significance
Pathogenic,13888,Uncertain significance
Pathogenic,13990,Pathogenic/Likely pathogenic
Pathogenic,13990,Pathogenic/Likely pathogenic
Pathogenic,13990,Pathogenic/Likely pathogenic
Pathogenic,13990,Pathogenic/Likely pathogenic
Pathogenic,14021,Pathogenic/Likely pathogenic
Pathogenic,14021,Pathogenic/Likely pathogenic
Pathogenic,14021,Pathogenic/Likely pathogenic
Pathogenic,14021,Pathogenic/Likely pathogenic
Pathogenic,14238,Pathogenic/Likely pathogenic
Pathogenic,14238,Pathogenic/Likely pathogenic
Pathogenic,14238,Pathogenic/Likely pathogenic
Pathogenic,14238,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,14984,Benign
Conflicting classifications of pathogenicity,14984,Benign
Conflicting classifications of pathogenicity,14984,Benign
Conflicting classifications of pathogenicity,14984,Benign
Uncertain significance,15162,Conflicting classifications of pathogenicity
Uncertain significance,15162,Conflicting classifications of pathogenicity
Uncertain significance,15162,Conflicting classifications of pathogenicity
Uncertain significance,15162,Conflicting classifications of pathogenicity
other,15220,Uncertain significance
other,15220,Uncertain significance
other,15220,Uncertain significance
other,15220,Uncertain significance
Likely benign,15226,Conflicting classifications of pathogenicity
Likely benign,15226,Conflicting classifications of pathogenicity
Likely benign,15226,Conflicting classifications of pathogenicity
Likely benign,15226,Conflicting classifications of pathogenicity
other,15348,Likely pathogenic
other,15348,Likely pathogenic
other,15348,Likely pathogenic
other,15348,Likely pathogenic
Conflicting classifications of pathogenicity,15400,Likely pathogenic
Conflicting classifications of pathogenicity,15400,Likely pathogenic
Conflicting classifications of pathogenicity,15400,Likely pathogenic
Conflicting classifications of pathogenicity,15400,Likely pathogenic
Pathogenic,15561,Uncertain significance
